SIM_TIME,Total Alerts,Real Alerts,Delivered,Delivery Ratio,Avg Delay,Precision,Recall,F1
500,6,6,49,8.167,79.796,1.0,8.167,1.782
500,1,0,7,7.0,105.143,0.0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,1,0,4,4.0,83.5,0.0,0,0
500,1,1,7,7.0,119.143,1.0,7.0,1.75
500,3,2,26,8.667,101.038,0.731,9.5,1.357
500,1,1,7,7.0,112.286,1.0,7.0,1.75
500,4,2,25,6.25,75.08,0.56,7.0,1.037
500,1,1,11,11.0,73.545,1.0,11.0,1.833
500,3,2,15,5.0,83.933,0.533,4.0,0.941
500,1,1,4,4.0,83.75,1.0,4.0,1.6
500,3,3,30,10.0,92.633,1.0,10.0,1.818
500,3,1,15,5.0,92.667,0.333,5.0,0.625
500,1,1,5,5.0,104.2,1.0,5.0,1.667
500,4,3,22,5.5,94.227,0.773,5.667,1.36
500,3,2,23,7.667,83.217,0.522,6.0,0.96
500,1,0,4,4.0,51.0,0.0,0,0
500,0,0,0,0,0,0,0,0
500,3,2,23,7.667,95.087,0.783,9.0,1.44
500,2,2,18,9.0,84.222,1.0,9.0,1.8
500,1,0,5,5.0,92.0,0.0,0,0
500,2,1,27,13.5,106.296,0.481,13.0,0.929
500,0,0,0,0,0,0,0,0
500,2,2,19,9.5,98.211,1.0,9.5,1.81
500,3,1,23,7.667,93.087,0.217,5.0,0.417
